version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI00C50	KL142	lq	PC0453	lasso	inf	5.56	0.32	0.5	0.43	0.6	22	14	0.00874	7.0	7.0	2488.0	15.0	0.99	0.99	0.39	0.39	6.0	4.0	531.0	8.0	0.99	0.98	0.5	0.5	0.0	1207	0.0	inf	0.229	0.31	0.384	0.38	0.44	0.624	0.289	0.4	0.503	0.4	0.6	0.763	0.39
PCI00C80	KL142	lq	PC0524	lasso	inf	7.72	0.32	0.5	0.43	0.6	22	14	0.00874	7.0	7.0	2488.0	15.0	0.99	0.99	0.39	0.39	6.0	4.0	531.0	8.0	0.99	0.98	0.5	0.5	0.0	1481	0.0	inf	0.2	0.295	0.45	0.328	0.5	0.71	0.289	0.37	0.62	0.496	0.61	0.802	0.39
PCI50C50	KL142	lq	PC0582	lasso	inf	8.3	0.32	0.5	0.43	0.6	22	14	0.00874	7.0	7.0	2488.0	15.0	0.99	0.99	0.39	0.39	6.0	4.0	531.0	8.0	0.99	0.98	0.5	0.5	0.0	1688	0.0	inf	0.209	0.33	0.42	0.428	0.525	0.604	0.268	0.4	0.56	0.496	0.645	0.8	0.39
PCI50C80	KL142	lq	PC0579	lasso	inf	7.73	0.32	0.5	0.43	0.6	22	14	0.00874	7.0	7.0	2488.0	15.0	0.99	0.99	0.39	0.39	6.0	4.0	531.0	8.0	0.99	0.98	0.5	0.5	0.0	1834	0.0	inf	0.168	0.33	0.432	0.217	0.5	0.678	0.2	0.42	0.503	0.326	0.645	0.83	0.39
PCI80C50	KL142	lq	PC0705	lasso	inf	4.26	0.29	0.43	0.38	0.5	21	14	0.00834	6.0	8.0	2488.0	15.0	0.99	0.99	0.35	0.35	5.0	5.0	531.0	8.0	0.99	0.98	0.43	0.43	0.0	2166	0.0	inf	0.23	0.32	0.45	0.4	0.5	0.6	0.327	0.4	0.503	0.38	0.57	0.753	0.35
PCI80C80	KL142	lq	PC0717	lasso	inf	4.18	0.29	0.43	0.38	0.5	21	14	0.00834	6.0	8.0	2488.0	15.0	0.99	0.99	0.35	0.35	5.0	5.0	531.0	8.0	0.99	0.98	0.43	0.43	0.0	2240	0.0	inf	0.195	0.31	0.43	0.294	0.4	0.575	0.246	0.38	0.503	0.326	0.5	0.712	0.35
PCI00C50	KL15	lq	PC1096	lasso	inf	2.31	1.0	0.12	1.0	0.36	4	34	0.00159	4.0	30.0	2483.0	0.0	1.0	0.99	0.21	0.34	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1207	0.0	inf	1.0	1.0	1.0	0.086	0.12	0.172	1.0	1.0	1.0	0.192	0.33	0.446	0.21
PCI00C80	KL15	lq	PC0582	lasso	inf	6.66	0.8	0.35	1.0	0.27	15	34	0.00596	12.0	22.0	2480.0	3.0	1.0	0.99	0.49	0.53	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1481	0.0	inf	0.698	0.78	0.891	0.318	0.35	0.413	1.0	1.0	1.0	0.215	0.3	0.43	0.49
PCI50C50	KL15	lq	PC0609	lasso	inf	7.26	0.8	0.35	1.0	0.27	15	34	0.00596	12.0	22.0	2480.0	3.0	1.0	0.99	0.49	0.53	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1688	0.0	inf	0.696	0.785	0.901	0.288	0.34	0.45	1.0	1.0	1.0	0.216	0.3	0.43	0.49
PCI50C80	KL15	lq	PC0683	lasso	inf	7.38	0.8	0.35	1.0	0.27	15	34	0.00596	12.0	22.0	2480.0	3.0	1.0	0.99	0.49	0.53	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1834	0.0	inf	0.617	0.775	0.924	0.259	0.365	0.482	1.0	1.0	1.0	0.138	0.29	0.383	0.49
