version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI50C80	KL16	hq	PC0774	lasso	inf	6.35	1.0	0.23	1.0	0.36	5	22	0.00202	5.0	17.0	2456.0	0.0	1.0	0.99	0.37	0.48	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1289	0.0	inf	1.0	1.0	1.0	0.178	0.245	0.367	1.0	1.0	1.0	0.22	0.33	0.604	0.37
PCI80C50	KL16	hq	PC0915	lasso	inf	7.82	1.0	0.23	1.0	0.36	5	22	0.00202	5.0	17.0	2456.0	0.0	1.0	0.99	0.37	0.48	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1543	0.0	inf	1.0	1.0	1.0	0.128	0.25	0.362	1.0	1.0	1.0	0.196	0.33	0.443	0.37
PCI80C80	KL16	hq	PC0974	lasso	inf	7.83	1.0	0.23	1.0	0.36	5	22	0.00202	5.0	17.0	2456.0	0.0	1.0	0.99	0.37	0.48	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1587	0.0	inf	1.0	1.0	1.0	0.128	0.245	0.332	1.0	1.0	1.0	0.219	0.36	0.5	0.37
PCI00C50	KL2	hq	PC0462	lasso	inf	5.65	0.75	0.24	0.4	0.18	12	37	0.00484	9.0	28.0	2438.0	3.0	1.0	0.99	0.36	0.42	2.0	9.0	535.0	3.0	0.99	0.98	0.25	0.26	0.0	824	0.0	inf	0.619	0.75	0.862	0.178	0.265	0.332	0.4	0.5	0.67	0.2	0.235	0.292	0.36
PCI00C80	KL2	hq	PC0539	lasso	inf	6.67	0.82	0.24	0.5	0.18	11	37	0.00444	9.0	28.0	2439.0	2.0	1.0	0.99	0.37	0.44	2.0	9.0	536.0	2.0	1.0	0.98	0.26	0.29	0.0	998	0.0	inf	0.67	0.86	1.0	0.185	0.265	0.331	0.5	0.67	1.0	0.177	0.22	0.296	0.37
PCI50C50	KL2	hq	PC0408	lasso	inf	13.8	0.95	0.54	0.89	0.73	21	37	0.00847	20.0	17.0	2440.0	1.0	1.0	0.99	0.69	0.71	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	1191	0.0	inf	0.91	0.97	1.0	0.458	0.555	0.654	0.86	0.945	1.0	0.667	0.78	0.862	0.69
PCI50C80	KL2	hq	PC0429	lasso	inf	12.1	0.95	0.51	0.89	0.73	20	37	0.00807	19.0	18.0	2440.0	1.0	1.0	0.99	0.66	0.7	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	1289	0.0	inf	0.92	0.93	1.0	0.448	0.53	0.601	0.858	0.88	1.0	0.633	0.705	0.802	0.66
PCI80C50	KL2	hq	PC0557	lasso	inf	12.5	0.95	0.49	0.88	0.64	19	37	0.00767	18.0	19.0	2440.0	1.0	1.0	0.99	0.65	0.68	7.0	4.0	537.0	1.0	1.0	0.99	0.74	0.74	0.0	1543	0.0	inf	0.898	0.93	1.0	0.378	0.5	0.624	0.828	0.88	1.0	0.557	0.67	0.832	0.65
PCI80C80	KL2	hq	PC0592	lasso	inf	9.28	0.94	0.46	0.88	0.64	18	37	0.00726	17.0	20.0	2440.0	1.0	1.0	0.99	0.62	0.66	7.0	4.0	537.0	1.0	1.0	0.99	0.74	0.74	0.0	1587	0.0	inf	0.89	0.925	1.0	0.357	0.48	0.55	0.798	0.88	1.0	0.498	0.63	0.861	0.62
PCI00C50	KL21	hq	PC0190	lasso	inf	1.82	0.64	0.76	0.35	0.69	59	50	0.0238	38.0	12.0	2407.0	21.0	0.99	0.99	0.69	0.69	9.0	4.0	519.0	17.0	0.97	0.96	0.46	0.47	0.0	824	0.0	inf	0.589	0.64	0.714	0.69	0.76	0.84	0.238	0.37	0.5	0.557	0.715	0.834	0.69
PCI00C80	KL21	hq	PC0200	lasso	inf	1.88	0.67	0.76	0.38	0.69	57	50	0.023	38.0	12.0	2409.0	19.0	0.99	0.99	0.71	0.71	9.0	4.0	521.0	15.0	0.97	0.97	0.49	0.49	0.0	998	0.0	inf	0.58	0.65	0.72	0.68	0.75	0.86	0.308	0.405	0.5	0.569	0.73	0.8	0.71
PCI50C50	KL21	hq	PC0216	lasso	inf	1.69	0.67	0.76	0.36	0.69	57	50	0.023	38.0	12.0	2409.0	19.0	0.99	0.99	0.71	0.71	9.0	4.0	520.0	16.0	0.97	0.96	0.47	0.48	0.0	1191	0.0	inf	0.649	0.7	0.76	0.688	0.76	0.813	0.316	0.41	0.535	0.542	0.7	0.881	0.71
PCI50C80	KL21	hq	PC0218	lasso	inf	1.66	0.68	0.76	0.38	0.69	56	50	0.0226	38.0	12.0	2410.0	18.0	0.99	0.99	0.72	0.71	9.0	4.0	521.0	15.0	0.97	0.97	0.49	0.49	0.0	1289	0.0	inf	0.619	0.66	0.712	0.69	0.785	0.881	0.32	0.4	0.502	0.595	0.73	1.0	0.72
PCI80C50	KL21	hq	PC0263	lasso	inf	3.11	0.65	0.72	0.33	0.62	55	50	0.0222	36.0	14.0	2409.0	19.0	0.99	0.99	0.68	0.68	8.0	5.0	520.0	16.0	0.97	0.96	0.43	0.44	0.0	1543	0.0	inf	0.56	0.65	0.71	0.65	0.695	0.791	0.288	0.385	0.43	0.5	0.6	0.783	0.68
PCI80C80	KL21	hq	PC0257	lasso	inf	2.48	0.65	0.72	0.33	0.62	55	50	0.0222	36.0	14.0	2409.0	19.0	0.99	0.99	0.68	0.68	8.0	5.0	520.0	16.0	0.97	0.96	0.43	0.44	0.0	1587	0.0	inf	0.569	0.655	0.712	0.649	0.74	0.791	0.29	0.39	0.47	0.555	0.64	0.704	0.68
PCI00C50	KL22	hq	PC0188	lasso	inf	3.87	0.54	0.6	0.48	0.65	59	53	0.0238	32.0	21.0	2398.0	27.0	0.99	0.98	0.57	0.56	11.0	6.0	520.0	12.0	0.98	0.97	0.55	0.54	0.0	824	0.0	inf	0.479	0.545	0.65	0.528	0.63	0.682	0.408	0.47	0.56	0.5	0.705	0.824	0.57
PCI00C80	KL22	hq	PC0210	lasso	inf	3.39	0.54	0.57	0.5	0.65	56	53	0.0226	30.0	23.0	2399.0	26.0	0.99	0.98	0.55	0.54	11.0	6.0	521.0	11.0	0.98	0.97	0.57	0.55	0.0	998	0.0	inf	0.468	0.545	0.605	0.54	0.57	0.67	0.438	0.5	0.562	0.598	0.67	0.75	0.55
PCI50C50	KL22	hq	PC0207	lasso	inf	3.47	0.54	0.6	0.48	0.65	59	53	0.0238	32.0	21.0	2398.0	27.0	0.99	0.98	0.57	0.56	11.0	6.0	520.0	12.0	0.98	0.97	0.55	0.54	0.0	1191	0.0	inf	0.488	0.55	0.61	0.528	0.61	0.681	0.43	0.47	0.53	0.62	0.67	0.82	0.57
PCI50C80	KL22	hq	PC0223	lasso	inf	3.2	0.54	0.57	0.5	0.65	56	53	0.0226	30.0	23.0	2399.0	26.0	0.99	0.98	0.55	0.54	11.0	6.0	521.0	11.0	0.98	0.97	0.57	0.55	0.0	1289	0.0	inf	0.488	0.545	0.621	0.518	0.585	0.67	0.409	0.515	0.56	0.54	0.7	0.82	0.55
PCI80C50	KL22	hq	PC0274	lasso	inf	4.49	0.51	0.51	0.48	0.59	53	53	0.0214	27.0	26.0	2399.0	26.0	0.99	0.98	0.51	0.5	10.0	7.0	521.0	11.0	0.98	0.97	0.53	0.51	0.0	1543	0.0	inf	0.439	0.515	0.62	0.43	0.495	0.57	0.378	0.5	0.622	0.568	0.64	0.731	0.51
PCI80C80	KL22	hq	PC0280	lasso	inf	4.37	0.5	0.49	0.48	0.59	52	53	0.021	26.0	27.0	2399.0	26.0	0.99	0.98	0.49	0.48	10.0	7.0	521.0	11.0	0.98	0.97	0.53	0.51	0.0	1587	0.0	inf	0.448	0.5	0.59	0.418	0.495	0.56	0.396	0.47	0.532	0.46	0.61	0.731	0.49
PCI00C50	KL24	hq	PC0274	lasso			0.79	0.36	0.5	0.06	38	83	0.0153	30.0	53.0	2387.0	8.0	1.0	0.98	0.49	0.52	1.0	15.0	532.0	1.0	1.0	0.97	0.11	0.17		824			0.64	0.785	0.833	0.288	0.36	0.47	0.5	0.5	1.0	0.07	0.08	0.101	0.49
PCI00C80	KL24	hq	PC0295	lasso			0.79	0.36	0.5	0.06	38	83	0.0153	30.0	53.0	2387.0	8.0	1.0	0.98	0.49	0.52	1.0	15.0	532.0	1.0	1.0	0.97	0.11	0.17		998			0.72	0.795	0.88	0.299	0.38	0.43	0.5	0.5	1.0	0.07	0.08	0.101	0.49
PCI50C50	KL24	hq	PC0182	lasso	inf	6.85	0.65	0.6	0.41	0.56	77	83	0.0311	50.0	33.0	2368.0	27.0	0.99	0.98	0.62	0.61	9.0	7.0	523.0	13.0	0.98	0.96	0.47	0.46	0.0	1191	0.0	inf	0.579	0.66	0.691	0.52	0.595	0.661	0.328	0.41	0.472	0.4	0.56	0.62	0.62
PCI50C80	KL24	hq	PC0187	lasso	inf	7.52	0.66	0.59	0.43	0.56	74	83	0.0299	49.0	34.0	2370.0	25.0	0.99	0.98	0.62	0.61	9.0	7.0	523.0	12.0	0.98	0.97	0.49	0.47	0.0	1289	0.0	inf	0.609	0.655	0.742	0.537	0.575	0.631	0.33	0.45	0.502	0.428	0.545	0.673	0.62
PCI80C50	KL24	hq	PC0217	lasso	inf	9.36	0.8	0.61	0.77	0.62	64	83	0.0258	51.0	32.0	2382.0	13.0	0.99	0.98	0.69	0.69	10.0	6.0	530.0	3.0	0.99	0.98	0.69	0.69	0.0	1543	0.0	inf	0.738	0.785	0.85	0.55	0.62	0.671	0.667	0.75	0.891	0.498	0.59	0.752	0.69
PCI80C80	KL24	hq	PC0224	lasso	inf	9.65	0.79	0.59	0.69	0.56	62	83	0.025	49.0	34.0	2382.0	13.0	0.99	0.98	0.68	0.67	9.0	7.0	530.0	4.0	0.99	0.98	0.62	0.61	0.0	1587	0.0	inf	0.72	0.78	0.83	0.529	0.56	0.652	0.598	0.685	0.783	0.38	0.545	0.67	0.68
PCI00C50	KL25	hq	PC0279	lasso	inf	5.29	0.8	0.53	0.86	0.6	35	53	0.0141	28.0	25.0	2418.0	7.0	1.0	0.99	0.64	0.64	6.0	4.0	538.0	1.0	1.0	0.99	0.71	0.71	0.0	824	0.0	inf	0.74	0.81	0.882	0.467	0.52	0.631	0.6	0.75	1.0	0.43	0.53	0.672	0.64
PCI00C80	KL25	hq	PC0170	lasso	inf	4.8	0.53	0.68	0.44	0.7	68	53	0.0274	36.0	17.0	2393.0	32.0	0.99	0.98	0.6	0.59	7.0	3.0	530.0	9.0	0.98	0.98	0.54	0.54	0.0	998	0.0	inf	0.459	0.51	0.571	0.598	0.655	0.732	0.33	0.42	0.503	0.557	0.67	0.754	0.6
PCI50C50	KL25	hq	PC0229	lasso	inf	4.83	0.65	0.58	0.54	0.7	48	53	0.0194	31.0	22.0	2408.0	17.0	0.99	0.98	0.61	0.61	7.0	3.0	533.0	6.0	0.99	0.98	0.61	0.61	0.0	1191	0.0	inf	0.53	0.635	0.711	0.488	0.58	0.671	0.38	0.5	0.672	0.428	0.645	0.86	0.61
PCI50C80	KL25	hq	PC0392	lasso	inf	4.77	0.79	0.42	1.0	0.6	28	53	0.0113	22.0	31.0	2419.0	6.0	1.0	0.99	0.55	0.56	6.0	4.0	539.0	0.0	1.0	0.99	0.75	0.77	0.0	1289	0.0	inf	0.689	0.785	0.891	0.319	0.42	0.5	0.75	0.915	1.0	0.378	0.53	0.67	0.55
PCI80C50	KL25	hq	PC0281	lasso	inf	4.25	0.64	0.57	0.5	0.6	47	53	0.019	30.0	23.0	2408.0	17.0	0.99	0.98	0.6	0.59	6.0	4.0	533.0	6.0	0.99	0.98	0.55	0.54	0.0	1543	0.0	inf	0.588	0.64	0.72	0.45	0.575	0.661	0.328	0.5	0.6	0.378	0.585	0.83	0.6
PCI80C80	KL25	hq	PC0438	lasso	inf	5.15	0.79	0.42	1.0	0.6	28	53	0.0113	22.0	31.0	2419.0	6.0	1.0	0.99	0.55	0.56	6.0	4.0	539.0	0.0	1.0	0.99	0.75	0.77	0.0	1587	0.0	inf	0.71	0.775	0.89	0.338	0.42	0.481	0.75	1.0	1.0	0.43	0.6	0.624	0.55
PCI00C50	KL28	hq	PC0208	lasso	inf	5.49	0.77	0.82	0.62	1.0	47	44	0.019	36.0	8.0	2423.0	11.0	1.0	0.99	0.79	0.79	10.0	0.0	533.0	6.0	0.99	0.99	0.77	0.79	0.0	824	0.0	inf	0.697	0.75	0.832	0.758	0.805	0.881	0.569	0.63	0.824	0.883	1.0	1.0	0.79
PCI00C80	KL28	hq	PC0303	lasso	inf	5.78	0.88	0.64	0.9	0.9	32	44	0.0129	28.0	16.0	2430.0	4.0	1.0	0.99	0.74	0.74	9.0	1.0	538.0	1.0	1.0	1.0	0.9	0.9	0.0	998	0.0	inf	0.828	0.885	0.912	0.539	0.65	0.711	0.879	1.0	1.0	0.78	0.885	1.0	0.74
PCI50C50	KL28	hq	PC0256	lasso	inf	6.14	0.84	0.82	0.71	1.0	43	44	0.0174	36.0	8.0	2427.0	7.0	1.0	0.99	0.83	0.82	10.0	0.0	535.0	4.0	0.99	0.99	0.83	0.84	0.0	1191	0.0	inf	0.75	0.85	0.901	0.748	0.79	0.882	0.667	0.8	0.905	0.857	1.0	1.0	0.83
PCI50C80	KL28	hq	PC0355	lasso	inf	5.03	0.88	0.64	0.9	0.9	32	44	0.0129	28.0	16.0	2430.0	4.0	1.0	0.99	0.74	0.74	9.0	1.0	538.0	1.0	1.0	1.0	0.9	0.9	0.0	1289	0.0	inf	0.82	0.86	0.94	0.558	0.62	0.712	0.828	0.89	1.0	0.67	0.88	1.0	0.74
PCI80C50	KL28	hq	PC0315	lasso	inf	5.05	0.78	0.64	0.67	1.0	36	44	0.0145	28.0	16.0	2426.0	8.0	1.0	0.99	0.7	0.7	10.0	0.0	534.0	5.0	0.99	0.99	0.8	0.81	0.0	1543	0.0	inf	0.69	0.78	0.871	0.518	0.65	0.713	0.598	0.74	0.905	0.665	0.885	1.0	0.7
PCI80C80	KL28	hq	PC0543	lasso	inf	4.36	0.85	0.39	1.0	0.4	20	44	0.00807	17.0	27.0	2431.0	3.0	1.0	0.99	0.53	0.57	4.0	6.0	539.0	0.0	1.0	0.99	0.57	0.63	0.0	1587	0.0	inf	0.79	0.86	0.921	0.329	0.39	0.444	1.0	1.0	1.0	0.33	0.415	0.44	0.53
PCI00C50	KL3	hq	PC0260	lasso	inf	1.19	0.57	0.41	0.17	0.08	42	58	0.0169	24.0	34.0	2402.0	18.0	0.99	0.98	0.48	0.48	1.0	11.0	532.0	5.0	0.99	0.97	0.11	0.1	0.0	824	0.0	inf	0.518	0.59	0.682	0.34	0.415	0.502	0.17	0.2	0.254	0.09	0.11	0.14	0.48
PCI00C80	KL3	hq	PC0318	lasso	inf	3.86	0.78	0.43	0.4	0.17	32	58	0.0129	25.0	33.0	2413.0	7.0	1.0	0.98	0.55	0.57	2.0	10.0	534.0	3.0	0.99	0.98	0.24	0.25	0.0	998	0.0	inf	0.72	0.765	0.893	0.359	0.425	0.49	0.25	0.4	0.5	0.09	0.2	0.224	0.55
PCI50C50	KL3	hq	PC0335	lasso	inf	1.24	0.87	0.59	0.64	0.58	39	58	0.0157	34.0	24.0	2415.0	5.0	1.0	0.99	0.7	0.71	7.0	5.0	533.0	4.0	0.99	0.98	0.61	0.6	0.0	1191	0.0	inf	0.829	0.88	0.95	0.51	0.57	0.69	0.569	0.67	0.83	0.396	0.55	0.704	0.7
PCI50C80	KL3	hq	PC0336	lasso	inf	1.52	0.87	0.57	0.6	0.5	38	58	0.0153	33.0	25.0	2415.0	5.0	1.0	0.99	0.69	0.7	6.0	6.0	533.0	4.0	0.99	0.98	0.55	0.54	0.0	1289	0.0	inf	0.829	0.87	0.931	0.49	0.59	0.642	0.492	0.62	0.753	0.353	0.5	0.62	0.69
PCI80C50	KL3	hq	PC0362	lasso	inf	1.41	0.87	0.59	0.64	0.58	39	58	0.0157	34.0	24.0	2415.0	5.0	1.0	0.99	0.7	0.71	7.0	5.0	533.0	4.0	0.99	0.98	0.61	0.6	0.0	1543	0.0	inf	0.799	0.85	0.92	0.51	0.59	0.662	0.495	0.61	0.75	0.33	0.57	0.753	0.7
PCI80C80	KL3	hq	PC0367	lasso	inf	6.92	0.87	0.57	0.6	0.5	38	58	0.0153	33.0	25.0	2415.0	5.0	1.0	0.99	0.69	0.7	6.0	6.0	533.0	4.0	0.99	0.98	0.55	0.54	0.0	1587	0.0	inf	0.849	0.885	0.95	0.509	0.585	0.642	0.56	0.71	0.832	0.438	0.5	0.62	0.69
PCI00C50	KL30	hq	PC0104	lasso	inf	2.88	0.26	0.54	0.21	0.67	149	70	0.0601	38.0	32.0	2297.0	111.0	0.95	0.94	0.35	0.35	16.0	8.0	465.0	60.0	0.89	0.88	0.32	0.33	0.0	824	0.0	inf	0.21	0.255	0.301	0.49	0.54	0.6	0.17	0.22	0.27	0.606	0.67	0.757	0.35
PCI00C80	KL30	hq	PC0125	lasso	inf	2.34	0.29	0.49	0.22	0.62	118	70	0.0476	34.0	36.0	2324.0	84.0	0.97	0.95	0.36	0.35	15.0	9.0	473.0	52.0	0.9	0.89	0.32	0.33	0.0	998	0.0	inf	0.24	0.29	0.321	0.44	0.49	0.551	0.19	0.24	0.26	0.549	0.64	0.722	0.36
PCI50C50	KL30	hq	PC0204	lasso	inf	7.26	0.62	0.57	0.55	0.75	65	70	0.0262	40.0	30.0	2383.0	25.0	0.99	0.98	0.59	0.58	18.0	6.0	510.0	15.0	0.97	0.96	0.63	0.62	0.0	1191	0.0	inf	0.566	0.62	0.69	0.478	0.585	0.641	0.449	0.575	0.682	0.598	0.73	0.803	0.59
PCI50C80	KL30	hq	PC0209	lasso	inf	7.64	0.6	0.51	0.53	0.71	60	70	0.0242	36.0	34.0	2384.0	24.0	0.99	0.98	0.55	0.54	17.0	7.0	510.0	15.0	0.97	0.96	0.61	0.59	0.0	1289	0.0	inf	0.54	0.585	0.71	0.43	0.51	0.58	0.458	0.53	0.586	0.628	0.71	0.75	0.55
PCI80C50	KL30	hq	PC0241	lasso	inf	4.0	0.59	0.49	0.48	0.58	58	70	0.0234	34.0	36.0	2384.0	24.0	0.99	0.98	0.54	0.52	14.0	10.0	510.0	15.0	0.97	0.95	0.53	0.51	0.0	1543	0.0	inf	0.529	0.61	0.722	0.449	0.49	0.551	0.43	0.52	0.612	0.5	0.595	0.651	0.54
PCI80C80	KL30	hq	PC0270	lasso	inf	3.84	0.57	0.43	0.46	0.54	53	70	0.0214	30.0	40.0	2385.0	23.0	0.99	0.97	0.49	0.48	13.0	11.0	510.0	15.0	0.97	0.95	0.5	0.48	0.0	1587	0.0	inf	0.478	0.565	0.67	0.379	0.445	0.51	0.369	0.45	0.581	0.439	0.5	0.631	0.49
PCI00C50	KL35	hq	PC0403	lasso	inf	3.43	0.24	0.17	0.15	0.14	17	24	0.00686	4.0	20.0	2441.0	13.0	0.99	0.99	0.2	0.19	2.0	12.0	524.0	11.0	0.98	0.96	0.14	0.13	0.0	824	0.0	inf	0.133	0.22	0.361	0.114	0.17	0.242	0.086	0.17	0.254	0.086	0.16	0.252	0.2
PCI00C80	KL35	hq	PC0121	lasso	inf	3.54	0.17	0.83	0.25	0.79	116	24	0.0468	20.0	4.0	2358.0	96.0	0.96	0.96	0.28	0.37	11.0	3.0	502.0	33.0	0.94	0.93	0.38	0.42	0.0	998	0.0	inf	0.13	0.18	0.21	0.768	0.815	0.88	0.169	0.25	0.28	0.696	0.77	0.833	0.28
PCI50C50	KL35	hq	PC0511	lasso	inf	5.46	0.71	0.42	0.67	0.29	14	24	0.00565	10.0	14.0	2450.0	4.0	1.0	0.99	0.53	0.54	4.0	10.0	533.0	2.0	1.0	0.98	0.4	0.43	0.0	1191	0.0	inf	0.598	0.7	0.832	0.309	0.425	0.545	0.5	0.67	0.8	0.218	0.315	0.5	0.53
PCI50C80	KL35	hq	PC0528	lasso	inf	5.26	0.71	0.42	0.67	0.29	14	24	0.00565	10.0	14.0	2450.0	4.0	1.0	0.99	0.53	0.54	4.0	10.0	533.0	2.0	1.0	0.98	0.4	0.43	0.0	1289	0.0	inf	0.5	0.7	0.88	0.283	0.38	0.472	0.492	0.635	0.8	0.215	0.3	0.36	0.53
PCI80C50	KL35	hq	PC0852	lasso	inf	6.37	1.0	0.33	1.0	0.21	8	24	0.00323	8.0	16.0	2454.0	0.0	1.0	0.99	0.5	0.58	3.0	11.0	535.0	0.0	1.0	0.98	0.35	0.46	0.0	1543	0.0	inf	1.0	1.0	1.0	0.29	0.34	0.475	1.0	1.0	1.0	0.17	0.27	0.335	0.5
PCI80C80	KL35	hq	PC0875	lasso	inf	6.39	1.0	0.33	1.0	0.21	8	24	0.00323	8.0	16.0	2454.0	0.0	1.0	0.99	0.5	0.58	3.0	11.0	535.0	0.0	1.0	0.98	0.35	0.46	0.0	1587	0.0	inf	1.0	1.0	1.0	0.18	0.325	0.403	1.0	1.0	1.0	0.18	0.25	0.33	0.5
PCI00C50	KL38	hq	PC0620	lasso			0.29	0.07	0.2	0.09	7	27	0.00282	2.0	25.0	2446.0	5.0	1.0	0.99	0.11	0.14	1.0	10.0	534.0	4.0	0.99	0.97	0.12	0.12		824			0.0	0.31	0.5	0.0	0.06	0.12	0.0	0.25	0.5	0.0	0.11	0.142	0.11
PCI00C80	KL38	hq	PC0174	lasso			0.1	0.22	0.36	0.36	59	27	0.0238	6.0	21.0	2398.0	53.0	0.98	0.97	0.14	0.14	4.0	7.0	531.0	7.0	0.99	0.97	0.36	0.35		998			0.07	0.1	0.15	0.148	0.23	0.322	0.288	0.39	0.5	0.2	0.37	0.57	0.14
PCI50C50	KL38	hq	PC0794	lasso			0.86	0.22	0.8	0.36	7	27	0.00282	6.0	21.0	2450.0	1.0	1.0	0.99	0.35	0.43	4.0	7.0	537.0	1.0	1.0	0.99	0.5	0.53		1191			0.75	0.815	1.0	0.156	0.235	0.271	0.746	0.75	1.0	0.197	0.38	0.443	0.35
PCI50C80	KL38	hq	PC0827	lasso	inf	4.71	0.86	0.22	0.8	0.36	7	27	0.00282	6.0	21.0	2450.0	1.0	1.0	0.99	0.35	0.43	4.0	7.0	537.0	1.0	1.0	0.99	0.5	0.53	0.0	1289	0.0	inf	0.662	0.8	1.0	0.09	0.21	0.314	0.662	0.8	1.0	0.11	0.33	0.5	0.35
PCI80C50	KL38	hq	PC0985	lasso	inf	3.32	0.86	0.22	0.8	0.36	7	27	0.00282	6.0	21.0	2450.0	1.0	1.0	0.99	0.35	0.43	4.0	7.0	537.0	1.0	1.0	0.99	0.5	0.53	0.0	1543	0.0	inf	0.67	0.8	1.0	0.137	0.235	0.295	0.67	0.75	1.0	0.196	0.355	0.572	0.35
PCI80C80	KL38	hq	PC1083	lasso	inf	6.19	0.86	0.22	0.8	0.36	7	27	0.00282	6.0	21.0	2450.0	1.0	1.0	0.99	0.35	0.43	4.0	7.0	537.0	1.0	1.0	0.99	0.5	0.53	0.0	1587	0.0	inf	0.662	0.8	0.867	0.136	0.19	0.3	0.662	0.75	0.81	0.196	0.315	0.5	0.35
PCI00C50	KL39	hq	PC0247	lasso	inf	2.73	0.48	0.55	0.14	0.15	46	40	0.0186	22.0	18.0	2414.0	24.0	0.99	0.98	0.51	0.5	2.0	11.0	524.0	12.0	0.98	0.96	0.14	0.13	0.0	824	0.0	inf	0.41	0.475	0.533	0.45	0.58	0.621	0.138	0.18	0.22	0.146	0.22	0.29	0.51
PCI00C80	KL39	hq	PC0283	lasso			0.54	0.55	0.17	0.15	41	40	0.0165	22.0	18.0	2419.0	19.0	0.99	0.99	0.54	0.54	2.0	11.0	526.0	10.0	0.98	0.96	0.16	0.14		998			0.515	0.555	0.651	0.458	0.56	0.622	0.138	0.21	0.296	0.09	0.2	0.25	0.54
PCI50C50	KL39	hq	PC0369	lasso			0.64	0.52	0.33	0.15	33	40	0.0133	21.0	19.0	2426.0	12.0	1.0	0.99	0.57	0.57	2.0	11.0	532.0	4.0	0.99	0.97	0.21	0.21		1191			0.56	0.625	0.731	0.47	0.535	0.672	0.25	0.365	0.509	0.09	0.19	0.224	0.57
PCI50C80	KL39	hq	PC0365	lasso			0.64	0.52	0.33	0.15	33	40	0.0133	21.0	19.0	2426.0	12.0	1.0	0.99	0.57	0.57	2.0	11.0	532.0	4.0	0.99	0.97	0.21	0.21		1289			0.53	0.64	0.702	0.428	0.51	0.621	0.2	0.33	0.5	0.08	0.145	0.292	0.57
PCI80C50	KL39	hq	PC0411	lasso			0.66	0.52	0.4	0.15	32	40	0.0129	21.0	19.0	2427.0	11.0	1.0	0.99	0.58	0.58	2.0	11.0	533.0	3.0	0.99	0.97	0.22	0.24		1543			0.589	0.67	0.712	0.478	0.56	0.622	0.25	0.45	0.5	0.09	0.2	0.222	0.58
PCI80C80	KL39	hq	PC0410	lasso			0.66	0.52	0.4	0.15	32	40	0.0129	21.0	19.0	2427.0	11.0	1.0	0.99	0.58	0.58	2.0	11.0	533.0	3.0	0.99	0.97	0.22	0.24		1587			0.587	0.67	0.753	0.426	0.54	0.624	0.25	0.5	1.0	0.109	0.175	0.258	0.58
PCI00C50	KL47	hq	PC0706	lasso	inf	2.71	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	824	0.0	inf	1.0	1.0	1.0	0.244	0.345	0.443	1.0	1.0	1.0	0.198	0.33	0.434	0.53
PCI00C80	KL47	hq	PC0798	lasso	inf	0.722	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	998	0.0	inf	1.0	1.0	1.0	0.198	0.345	0.5	1.0	1.0	1.0	0.219	0.355	0.5	0.53
PCI50C50	KL47	hq	PC0953	lasso	inf	5.24	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1191	0.0	inf	1.0	1.0	1.0	0.246	0.36	0.504	1.0	1.0	1.0	0.248	0.345	0.57	0.53
PCI50C80	KL47	hq	PC1038	lasso	inf	5.27	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1289	0.0	inf	1.0	1.0	1.0	0.215	0.33	0.452	1.0	1.0	1.0	0.218	0.33	0.44	0.53
PCI80C50	KL47	hq	PC1221	lasso	inf	11.0	1.0	0.36	1.0	0.36	5	14	0.00202	5.0	9.0	2464.0	0.0	1.0	1.0	0.53	0.6	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1543	0.0	inf	1.0	1.0	1.0	0.216	0.38	0.62	1.0	1.0	1.0	0.284	0.405	0.67	0.53
