MGG_K_locus,completeness,total_SCs,KASPAH_REF_SCs,other_SCs
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,95.84,18,3,15
KL64,99.31,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,96.52,18,3,15
KL64,96.52,18,3,15
KL64,91.53,18,3,15
KL64,91.38,18,3,15
KL64,76.33,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,59.1,18,3,15
KL64,52.41,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,69.32,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,99.37,18,3,15
KL64,95.82,18,3,15
KL64,89.06,18,3,15
KL64,89.06,18,3,15
KL64,89.06,18,3,15
KL64,75.98,18,3,15
KL64,75.56,18,3,15
KL64,70.78,18,3,15
KL64,65.94,18,3,15
KL64,61.33,18,3,15
KL64,61.33,18,3,15
KL64,61.33,18,3,15
KL64,56.07,18,3,15
KL64,54.63,18,3,15
KL64,54.63,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,94.61,18,3,15
KL64,94.61,18,3,15
KL64,88.41,18,3,15
KL64,88.41,18,3,15
KL7,100,11,1,10
KL7,71.13,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,99.62,11,1,10
KL7,99.47,11,1,10
KL7,58.79,11,1,10
KL7,100,11,1,10
KL7,80.68,11,1,10
KL7,52.47,11,1,10
KL7,97.6,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,65.37,11,1,10
KL7,65.37,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,66.38,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,88.51,11,1,10
KL7,80.7,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,86.47,11,1,10
KL7,67.71,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,72.47,11,1,10
KL7,71.09,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,80.68,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,96.08,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL7,100,11,1,10
KL8,100,15,1,14
KL8,87.63,15,1,14
KL8,72.51,15,1,14
KL8,67.88,15,1,14
KL8,66.5,15,1,14
KL8,65.14,15,1,14
KL8,50.78,15,1,14
KL8,94.26,15,1,14
