MGG_K_locus,category,count,type,source
KL60,no.pv.other,40,PVs,Other
KL61,no.pv.other,35,PVs,Other
KL62,no.pv.other,59,PVs,Other
KL63,no.pv.other,51,PVs,Other
KL64,no.pv.other,92,PVs,Other
KL67,no.pv.other,22,PVs,Other
KL7,no.pv.other,41,PVs,Other
KL70,no.pv.other,3,PVs,Other
KL71,no.pv.other,20,PVs,Other
KL74,no.pv.other,2,PVs,Other
KL8,no.pv.other,69,PVs,Other
KL80,no.pv.other,2,PVs,Other
KL81,no.pv.other,15,PVs,Other
KL9,no.pv.other,33,PVs,Other
